locale,generation,reference_type,reference,era,quote_fragments,how_used,avoid_when,caution,sources
Canada,older,TV comedy,SCTV / Great White North,1970s-1980s,"hoser|take off, eh|Great White North",Canadian sketch-comedy nostalgia and self-mockery,Reducing Canada to beer/snow stereotypes,Older/Gen-X skew; phrase can sound dated,CBC; Second City
Canada,older,TV,The Beachcombers,1970s-1990s,Molly’s Reach|West Coast small-town TV|Nick Adonidas,CBC nostalgia and coastal BC memory,Assuming national familiarity among younger users,BC/older-skewing despite national airing,CBC; Canadian Encyclopedia
Canada,older,music/civic,Stompin’ Tom Connors,1960s-2000s,The Hockey Song|Bud the Spud|good old hockey game,"Folk patriotism, hockey, working routes",Quebec/urban/youth contexts where it may miss,English-Canada and older-skewing,Canadian Encyclopedia
Canada,older,sport/media,Hockey Night in Canada,1950s-present,Saturday night hockey|Coach’s Corner|opening theme nostalgia,Ritualised national sport-media memory,"Don Cherry politics, exclusion, concussion topics",Hockey is broad but not universal,CBC; NHL
Canada,gen-x,TV comedy,Kids in the Hall,1980s-1990s,I’m crushing your head|30 Helens agree|sketch troupe weirdness,Absurd sketch humour and alt-comedy reference,Formal or broad mainstream copy,Cult rather than universal,CBC; HBO
Canada,gen-x,TV comedy,Trailer Park Boys,2000s-present,decent|get two birds stoned at once|Rickyism,Rough absurdism; Atlantic/lowbrow comic chaos,"Poverty, addiction, class, or Atlantic stereotypes",Crude; not a neutral Canada marker,Showcase; IMDb
Canada,gen-x,TV/teen,Degrassi Junior High / High,1980s-1990s,it goes there|teen issues after school|Degrassi hallway,Earnest teen social-issue shorthand,Current youth policy unless updated carefully,Cross-generational via later Degrassi,CBC; Canadian Encyclopedia
Canada,millennial,TV comedy,Schitt’s Creek,2010s-2020s,Ew David|fold in the cheese|best wishes,Warm queer-friendly sitcom; fish-out-of-water class humour,Mocking small towns or wealth loss,Widely exported; not uniquely Canadian to all,CBC; Pop TV
Canada,millennial,TV comedy,Letterkenny,2010s-2020s,pitter patter|hard no|to be fair,"Rural Ontario banter, fast wordplay, chirping",Rural/class caricature or workplace politeness,Strong regional/style skew; slang can feel forced,Crave; Hulu
Canada,millennial,TV/teen,Degrassi: The Next Generation,2000s-2010s,whatever it takes|Drake-era Degrassi|school drama goes there,Millennial teen TV memory and Drake-era nostalgia,Serious teen harm without care,Known beyond Canada; not proof of nationality,CTV; MuchMusic
Canada,millennial,civic/media,Heritage Minutes memes,1990s-present,"I smell burnt toast|Doctor, I need these baskets back|burnt-toast minute",Canadian civic nostalgia turned meme,Medical emergencies or Indigenous history handled glibly,Some Minutes involve sensitive colonial history,Historica Canada
Canada,gen-z,music/internet,Drake and Toronto meme culture,2010s-2020s,the 6ix|Hotline Bling|OVO,Toronto pop-culture shorthand and global Canadian celebrity,Assuming all Canadians identify with Toronto,Toronto-centric and polarising,OVO; Billboard/media coverage
Canada,gen-z,TV/internet,Kim’s Convenience,2010s-2020s,okay see you|Appa energy|Handy Car Rental,Toronto immigrant-family sitcom reference,Accent mimicry or ethnic caricature,Representation valued; production controversy noted,CBC; Ins Choi
Canada,gen-z,internet,TikTok Canadianisms,2020s,double-double run|sorry-core|bagged milk jokes,Self-aware Canada markers in short-form content,Serious localisation or Quebec-specific copy,Often stereotype-based; use sparingly,TikTok trend coverage; Tim Hortons
Canada,all-age,food/civic,Tim Hortons,1960s-present,double-double|Tims run|Roll Up the Rim,"Everyday coffee stop, road-trip or office shorthand","Nutrition, labour, or corporate-criticism contexts",Beloved/criticised; not universal identity,Tim Hortons; Canadian Encyclopedia
Canada,all-age,civic/sport,Hockey and Team Canada,20th c.-present,go Canada go|Summit Series|golden goal,National sport pride and winter-event shorthand,"Assuming hockey fandom, masculinity, or whiteness",Major but not universal; regional/class variation,Hockey Canada; NHL
Canada,all-age,civic/media,CBC / Radio-Canada,1930s-present,The National|CBC Gem|public broadcaster,Public-service media and national-news shorthand,Partisan media-trust debates,English/French services differ; Quebec context matters,CBC/Radio-Canada; CRTC
Canada,all-age,civic/Indigenous,Truth and Reconciliation / Orange Shirt Day,2000s-present,every child matters|Orange Shirt Day|truth and reconciliation,Respectful civic remembrance and learning prompt,Marketing gimmicks or casual decorative use,Requires care; Indigenous-led sources preferred,NCTR; Orange Shirt Society
