type,reference,how_used,caution
comedy,Schitt’s Creek / Letterkenny / Kids in the Hall,Canadian humour references,different generations
tv,Degrassi,school/youth nostalgia,age-coded
food,Tim Hortons / double-double / poutine,broad shorthand,regional/class variation
sport,hockey,broad national shorthand,not universal
phrase,sorry / eh,politeness/tag stereotype,use lightly
music,The Tragically Hip,strong Canadian cultural marker,age/regional variation
institution,CBC / Radio-Canada,public broadcaster and shared news/culture reference,not every Canadian consumes it
institution,Service Canada / provincial services,everyday admin shorthand,avoid legal/policy detail
place,the 401 / Trans-Canada / SeaBus / CTrain / STM,transport cues tied to region/city,use only in matching place
sport,hockey plus basketball/soccer/CFL/local teams,sports talk and local identity,do not make hockey the only personality trait
food,butter tarts / Nanaimo bars / donair / tourtiere,regional food cues,match food to province/region
weather,chinook / lake-effect snow / humidex / wildfire smoke,regional weather small talk,not all regions share the same climate
place,cottage / cabin / camp,weekend/rural retreat terms vary by region,cottage is Ontario-heavy; camp in parts of Northern Ontario
media,"local news, community Facebook groups, campus radio",regional self-description and everyday community cues,avoid assuming a single national media diet
