locale,category,reference,what_it_signals,typical_phrase,generation_or_register,strength,caution,sources
Ontario/Toronto,media/public,CBC Toronto / TVO / Toronto Star,Toronto/Ontario public-media layer,"CBC Toronto story, TVO explainer",neutral/local,medium,CBC is national; local bureau matters.,cbc.ca/toronto; tvo.org; thestar.com
Ontario/Toronto,weather/commute,CP24 / 680 NewsRadio,GTA traffic/weather media rhythm,"CP24 traffic, 680 traffic and weather",casual/local,medium,"GTA-specific, commute-shaped.",cp24.com; 680newradio.com
Montreal/Quebec,media/public,CBC Montreal / La Presse / Gazette,Montreal media layer across languages,"CBC Montreal story, Gazette column",neutral/local,medium,Do not infer language identity from media mention.,cbc.ca/montreal; lapresse.ca; montrealgazette.com
Nova Scotia/Halifax,media/local,CBC Nova Scotia / Halifax Examiner,Halifax/NS public and local news ecology,"CBC NS interview, Examiner piece",neutral/local,medium,Audience-shaped; not universal.,cbc.ca/ns; halifaxexaminer.ca
Newfoundland and Labrador,media/local,CBC Newfoundland and Labrador / VOCM,NL public/local radio ecology,"heard it on VOCM, CBC NL story",neutral/local,medium,Avoid turning local radio into parody.,cbc.ca/nl; vocm.com
Winnipeg/Manitoba,media/local,CBC Manitoba / Winnipeg Free Press,Winnipeg/Manitoba media layer,"Free Press story, CBC Manitoba interview",neutral/local,medium,Province-wide vs city distinction matters.,cbc.ca/manitoba; winnipegfreepress.com
Saskatchewan/Regina,media/local,CBC Saskatchewan / Leader-Post,Saskatchewan/Regina media ecology,"Leader-Post story, CBC Sask segment",neutral/local,medium,Saskatoon/Regina contexts differ.,cbc.ca/sask; leaderpost.com
Calgary/Alberta,media/local,CBC Calgary / Calgary Herald,Calgary media ecology,"Herald story, CBC Calgary piece",neutral/local,medium,Alberta is not only Calgary/Edmonton.,cbc.ca/calgary; calgaryherald.com
Vancouver/BC,media/local,CBC Vancouver / Vancouver Sun / The Tyee,Vancouver/BC media ecology,"Tyee piece, CBC Vancouver story",neutral/local,medium,BC has coastal/interior/northern differences.,cbc.ca/bc; vancouversun.com; thetyee.ca
Northern Canada/Nunavut/Yukon,media/public,CBC North / APTN / Nunatsiaq News,Northern/Indigenous/public media ecology,"CBC North report, Nunatsiaq story",neutral/local,medium,High care: do not generalise Indigenous or northern identities.,cbc.ca/north; aptnnews.ca; nunatsiaq.com
