region,signals,cautions
London/South East,business default; MLE exists,do not imitate MLE lightly
North of England,"aye, nowt, tea for evening meal",varies widely
Scotland,"wee, aye, distinct institutions",avoid fake Scots spelling
Wales,Welsh English rhythm/terms,avoid caricature
Northern Ireland,distinct terms/political sensitivities,do not assume Great Britain
Midlands,often erased; own terms,avoid London/North binary
Greater London,"boroughs, Tube/Overground, rent, multicultural food and school/work networks",London is not one accent or one class
South West England,"coastal/tourism, market towns, farming, Bristol/Plymouth/Exeter urban centres",avoid pirate/farmer caricature
West Midlands,"Birmingham/Black Country/Coventry distinctions, manufacturing and universities",do not collapse all into Brummie jokes
East Anglia,"market towns, agriculture/coast, Cambridge/Norwich contrasts",often underrepresented; avoid rural-only flattening
Wales,"Welsh/English bilingual context, valleys/coast/Cardiff/Swansea/North Wales differences",do not fake Welsh English or use Wales as scenery
Northern Ireland,"NI-specific politics/culture, Belfast/Derry-Londonderry/rural variation",sensitive history; avoid sectarian shorthand
Yorkshire,"Leeds/Sheffield/York/Hull/rural Dales contrasts, local pride",avoid flat-cap thrift stereotype
North East England,"Newcastle/Sunderland/Durham/Teesside distinctions, strong local identity",Geordie is not the whole North East
