setting,real_signals,language_register,avoid
London/major city,"commute, tube/train, boroughs, rent, pubs/cafes, multicultural references","fast, dry, socially calibrated",making all UK London or posh
suburban/home counties,"schools, train lines, garden centres, supermarkets, local councils","polite, indirect, middle-register",mocking middle-class codes
regional city,"local football, universities, councils, accents, post-industrial/cultural identity",directness varies; local pride,flattening into North/South cliché
rural/village,"parish/local council, pubs, buses, weather, farming/tourism","polite, practical, community-aware",storybook village caricature
inner London,"borough identity, Tube/Overground, rent, schools, multicultural high streets","quick, socially aware, mixed registers",using Cockney or MLE as generic London
outer London / commuter belt,"train zones, school catchments, semis, high streets, garden centres","polite, practical, suburb-aware",treating suburbs as culturally empty
post-industrial town,"retail parks, football/rugby clubs, colleges, local bus/train links","direct, locally proud, pragmatic",grim-up-north cliché
market town,"market day, GP surgery, school runs, buses, surrounding villages",neighbourly but modern,cosy period-drama village tone
coastal town,"seasonal tourism, seafront, second homes, local jobs, weather","practical, place-conscious",seaside postcard cliché
remote rural / island,"ferries, long drives, patchy services, local networks",specific and practical,wilderness fantasy or aristocratic estate default
